Diploma,MinYearsExperience,Role,Contract,Industry,Canton,Perks,CompanySize,Languages,Holidays,MaternityLeaveWeeks,PaternityLeaveWeeks,WorkloadPercent,SalaryCHF
PhD,7 to 20,Manager,Permanent,Education,ZH,Car,Small (50-200),"English, German",25,14.0,2.0,100,314500
Bachelor,4 to 10,Senior,Permanent,Manufacturing,SO,"Stock options, Meal vouchers",Large (1000+),"French, German",25,16.0,3.0,100,143600
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,SO,"Stock options, Car",Medium (200-1000),"English, German",25,14.0,3.0,100,84300
Bachelor,0 to 2,Junior,1 year,Healthcare,BE,AG (train pass),Small (50-200),"English, German",25,14.0,3.0,90,45300
PhD,2 to 6,Mid-level,Permanent,Finance,FR,Stock options,Medium (200-1000),"French, German",26,16.0,6.0,90,130200
Master,0 to 2,Junior,Permanent,Manufacturing,SG,None,Startup (<50),German,25,,,80,34200
Bachelor,2 to 6,Mid-level,2 years,Education,SZ,Car,Small (50-200),German,23,16.0,2.0,90,55900
Master,2 to 6,Mid-level,Permanent,IT,ZH,None,Small (50-200),"English, German",25,,,100,136700
Master,2 to 6,Mid-level,Permanent,Healthcare,SO,,Startup (<50),German,25,14.0,2.0,90,61600
Master,0 to 2,Junior,Permanent,Education,VD,None,Medium (200-1000),French,24,16.0,2.0,100,77900
PhD,2 to 6,Mid-level,2 years,Education,ZH,None,Startup (<50),"English, German",25,,,70,57600
Bachelor,0 to 2,Junior,Permanent,IT,VD,,Startup (<50),"French, English",25,16.0,4.0,100,60000
Apprenticeship,0 to 2,Junior,2 years,Energy,BE,"Housing support, Car",Startup (<50),German,30,,,70,25000
Master,2 to 6,Mid-level,Permanent,Hospitality,TI,None,Medium (200-1000),Italian,25,,,100,71600
Bachelor,4 to 10,Senior,Permanent,IT,ZH,None,Small (50-200),German,25,14.0,8.0,100,148600
PhD,2 to 6,Mid-level,2 years,Public Sector,SO,None,Medium (200-1000),,30,,,70,66100
Bachelor,2 to 6,Mid-level,2 years,Consulting,ZH,Stock options,Medium (200-1000),"French, English, German",25,20.0,2.0,70,82200
Bachelor,0 to 2,Junior,2 years,Education,ZH,Stock options,Large (1000+),"French, English, German",23,18.0,2.0,90,73400
PhD,4 to 10,Senior,Permanent,Energy,TG,None,Medium (200-1000),,24,14.0,2.0,100,188500
Bachelor,2 to 6,Mid-level,2 years,Education,BE,Housing support,Small (50-200),German,24,14.0,4.0,80,49700
PhD,2 to 6,Mid-level,2 years,Energy,BE,None,Startup (<50),"English, German",23,22.0,5.0,80,60500
Bachelor,0 to 2,Junior,2 years,Energy,VS,Car,Large (1000+),"French, English, German",25,14.0,2.0,70,51800
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,VD,None,Medium (200-1000),"French, English",23,16.0,2.0,70,68000
Master,0 to 2,Junior,2 years,Public Sector,AG,Car,Large (1000+),German,26,14.0,2.0,50,41300
PhD,2 to 6,Mid-level,Permanent,Pharma,VD,None,Small (50-200),"French, English",25,14.0,2.0,70,110600
Master,4 to 10,Senior,Permanent,Energy,NE,AG (train pass),Startup (<50),"French, English",24,16.0,2.0,100,111600
Bachelor,0 to 0,Intern,1 year,Retail,BE,"Stock options, AG (train pass)",Startup (<50),"English, German",24,16.0,4.0,80,25000
Bachelor,2 to 6,Mid-level,2 years,Education,ZH,"Stock options, Housing support",Large (1000+),"French, English, German",25,16.0,2.0,100,111500
Bachelor,0 to 0,Intern,1 year,Energy,VS,Housing support,Medium (200-1000),"French, German",20,14.0,8.0,70,25000
Bachelor,2 to 6,Mid-level,2 years,Healthcare,NE,None,Startup (<50),French,23,14.0,4.0,80,38200
Bachelor,0 to 2,Junior,Permanent,Manufacturing,JU,None,Small (50-200),French,26,16.0,2.0,60,25000
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,VD,None,Small (50-200),"French, English",25,14.0,2.0,100,80200
Bachelor,2 to 6,Mid-level,Permanent,Consulting,ZH,"Meal vouchers, Housing support",Large (1000+),"English, German",23,,,90,140200
